time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,pressure_msl
2025-01-01T00:00,7.5,6.4,165.0,7.1,1.2,28.0,18.8,95,0.0,8.1,1014.8
2025-01-01T01:00,8.0,7.0,166.0,7.3,1.2,25.0,18.6,96,0.0,6.3,1014.2
2025-01-01T02:00,8.4,7.6,176.0,7.8,1.1,22.0,18.4,96,0.0,6.1,1014.0
2025-01-01T03:00,9.8,9.1,187.0,8.3,1.1,19.0,18.1,96,0.0,6.4,1013.6
2025-01-01T04:00,11.1,10.4,195.0,9.2,1.0,14.0,17.9,97,0.0,4.4,1013.6
2025-01-01T05:00,12.1,11.6,203.0,10.2,0.9,10.0,17.6,97,0.0,3.4,1013.6
2025-01-01T06:00,13.8,13.2,211.0,10.1,1.2,16.0,17.8,97,0.0,5.1,1014.0
2025-01-01T07:00,13.8,13.2,221.0,8.1,2.2,41.0,19.1,91,0.0,6.6,1014.7
2025-01-01T08:00,12.9,12.3,232.0,5.0,3.6,77.0,21.2,83,0.0,3.2,1014.8
2025-01-01T09:00,6.9,6.7,238.0,2.7,4.4,106.0,23.2,77,0.0,2.3,1014.7
2025-01-01T10:00,5.7,5.5,234.0,2.4,3.9,113.0,25.3,67,0.0,3.1,1015.1
2025-01-01T11:00,5.5,5.4,226.0,2.0,3.3,122.0,26.8,62,0.0,4.6,1014.6
2025-01-01T12:00,5.9,5.7,220.0,1.8,2.7,127.0,28.0,57,0.0,7.0,1013.8
2025-01-01T13:00,6.6,6.4,221.0,1.8,2.3,123.0,29.0,51,0.0,7.5,1012.7
2025-01-01T14:00,6.5,6.2,225.0,1.9,2.0,115.0,23.8,75,4.9,15.9,1013.2
2025-01-01T15:00,6.6,6.2,228.0,2.3,1.8,107.0,24.2,77,0.1,6.0,1012.4
2025-01-01T16:00,6.8,6.4,225.0,3.2,1.9,103.0,23.5,79,1.0,2.1,1012.5
2025-01-01T17:00,7.7,7.3,221.0,4.3,2.1,100.0,23.0,81,0.8,4.5,1012.2
